bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
no,9,existing credits paid back duly till now,education,3832,unknown/no savings,... >= 7 years,>= 35,male : single,none,>= 7 years,real estate,64,none,own,1,unskilled - resident,1,none,yes,good
yes,24,existing credits paid back duly till now,radio/television,3660,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,28,none,own,1,skilled employee / official,1,none,yes,good
yes,18,all credits at this bank paid back duly,furniture/equipment,1553,... < 1000,1 <= ... < 4 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,44,bank,own,1,skilled employee / official,1,none,yes,bad
yes,15,existing credits paid back duly till now,radio/television,1444,unknown/no savings,... < 1 year,< 20,male : single,none,< 1 year,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,good
no,9,existing credits paid back duly till now,furniture/equipment,1980,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,co-applicant,1 <= ... < 4 years,car or other-not included in savings,19,none,rent,2,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (new),1355,... < 1000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,25,none,own,1,unskilled - resident,1,registered under the customers name,yes,bad
no,12,existing credits paid back duly till now,education,1393,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,radio/television,1376,5000 <= ... < 10000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,28,none,own,1,skilled employee / official,1,none,yes,good
no,60,delay in paying off in the past,radio/television,15653,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,21,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,1493,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,34,none,own,1,skilled employee / official,2,none,yes,good
yes,42,delay in paying off in the past,radio/television,4370,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,registered under the customers name,yes,bad
yes,18,existing credits paid back duly till now,education,750,... < 1000,unemployed,< 20,female : divorced/separated/married,none,< 1 year,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad
yes,15,existing credits paid back duly till now,repairs,1308,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,38,none,own,2,unskilled - resident,1,none,yes,good
no,15,existing credits paid back duly till now,education,4623,1000 <= ... < 5000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,24,critical account/ other credits existing (other lender),radio/television,1851,... < 1000,4 <= ... < 7 years,< 20,male : married/widowed,guarantor,1 <= ... < 4 years,car or other-not included in savings,33,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,18,critical account/ other credits existing (other lender),radio/television,1880,... < 1000,4 <= ... < 7 years,< 20,male : married/widowed,none,< 1 year,building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,36,delay in paying off in the past,business,7980,unknown/no savings,... < 1 year,< 20,male : single,none,>= 7 years,car or other-not included in savings,27,none,rent,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,guarantor,1 <= ... < 4 years,real estate,32,none,own,2,skilled employee / official,1,none,yes,good
no,12,existing credits paid back duly till now,car (new),1386,5000 <= ... < 10000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (new),947,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,bad
yes,12,existing credits paid back duly till now,education,684,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,40,none,rent,1,unskilled - resident,2,none,yes,bad
yes,48,existing credits paid back duly till now,education,7476,... < 1000,4 <= ... < 7 years,< 20,male : single,none,< 1 year,unknown / no property,50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1922,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (new),2303,... < 1000,... >= 7 years,< 20,male : single,co-applicant,< 1 year,real estate,45,none,own,1,skilled employee / official,1,none,yes,bad
yes,36,delay in paying off in the past,car (new),8086,1000 <= ... < 5000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,42,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,24,critical account/ other credits existing (other lender),car (used),2346,... < 1000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,35,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,14,existing credits paid back duly till now,car (new),3973,... < 1000,unemployed,>= 35,male : single,none,>= 7 years,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,car (new),888,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,41,bank,own,1,unskilled - resident,2,none,yes,bad
no,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,37,stores,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,30,no credits taken/ all credits paid back duly,business,4221,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,28,none,own,2,skilled employee / official,1,none,yes,good
yes,18,critical account/ other credits existing (other lender),furniture/equipment,6361,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,< 1 year,unknown / no property,41,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1297,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : married/widowed,none,>= 7 years,real estate,23,none,rent,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,car (new),900,unknown/no savings,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,23,none,own,1,skilled employee / official,1,none,yes,bad
no,21,existing credits paid back duly till now,furniture/equipment,2241,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,real estate,50,none,own,2,skilled employee / official,1,none,yes,good
yes,6,delay in paying off in the past,furniture/equipment,1050,... < 1000,unemployed,< 20,male : single,none,< 1 year,building society savings agreement/ life insurance,35,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,6,critical account/ other credits existing (other lender),education,1047,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1,none,yes,good
no,24,critical account/ other credits existing (other lender),others,6314,... < 1000,unemployed,< 20,male : single,co-applicant,1 <= ... < 4 years,unknown / no property,27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,30,all credits at this bank paid back duly,furniture/equipment,3496,... >= 10000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,34,stores,own,1,skilled employee / official,2,registered under the customers name,yes,good
no,48,all credits at this bank paid back duly,business,3609,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,< 1 year,real estate,27,stores,own,1,skilled employee / official,1,none,yes,good
yes,12,critical account/ other credits existing (other lender),car (new),4843,... < 1000,... >= 7 years,20 <= ... < 25,male : single,co-applicant,>= 7 years,building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,30,critical account/ other credits existing (other lender),radio/television,3017,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,none,yes,good
no,24,critical account/ other credits existing (other lender),business,4139,1000 <= ... < 5000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,registered under the customers name,yes,good
no,36,existing credits paid back duly till now,business,5742,1000 <= ... < 5000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,31,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,60,existing credits paid back duly till now,car (new),10366,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,6,critical account/ other credits existing (other lender),car (new),2080,5000 <= ... < 10000,1 <= ... < 4 years,>= 35,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,24,none,own,1,skilled employee / official,1,none,yes,good
